0 	0 	0 	0 	1 	0 	0 	3 	1 	2 	4 	0 	0 	0 	1 	8 	2 	4 	9 	3 	0 	0 	4 	3 	0 	0 	0 	0 	3 	3 	1 	0 	3 	4 	14 	12 	12 	4 	14 	0 	0 	0 	0 	4 	0 	0 	2 	2 	5 	0 	0 	4 	1 	0 	0 	2 	0 	1 	0 	1 	
3 	1 	16 	5 	5 	0 	1 	0 	0 	1 	0 	2 	1 	0 	0 	0 	0 	0 	0 	3 	0 	0 	2 	8 	12 	14 	11 	6 	0 	0 	7 	7 	5 	3 	0 	0 	2 	8 	7 	6 	2 	2 	0 	0 	2 	0 	0 	0 	2 	0 	1 	1 	1 	0 	0 	0 	0 	1 	5 	7 	
10 	4 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	1 	1 	14 	7 	1 	4 	6 	6 	11 	0 	0 	0 	2 	4 	0 	12 	18 	1 	0 	4 	2 	0 	0 	1 	1 	1 	2 	0 	0 	1 	0 	0 	0 	0 	0 	1 	0 	0 	2 	1 	0 	0 	0 	0 	
0 	0 	4 	14 	8 	5 	4 	0 	1 	6 	0 	9 	15 	4 	0 	0 	0 	0 	0 	0 	0 	0 	2 	1 	0 	1 	4 	0 	2 	0 	0 	0 	0 	0 	0 	4 	0 	2 	0 	1 	5 	3 	6 	12 	6 	0 	0 	2 	0 	0 	1 	0 	7 	12 	9 	5 	3 	1 	0 	1 	
4 	0 	0 	2 	2 	1 	0 	3 	1 	12 	2 	0 	0 	0 	0 	0 	0 	3 	0 	0 	0 	0 	0 	2 	1 	0 	0 	5 	4 	10 	14 	0 	3 	4 	11 	14 	15 	2 	0 	1 	3 	5 	3 	0 	0 	0 	1 	0 	4 	8 	1 	4 	3 	0 	5 	8 	16 	8 	8 	17 	
2 	0 	0 	0 	0 	5 	0 	0 	4 	4 	1 	2 	0 	0 	3 	0 	0 	0 	4 	10 	8 	6 	20 	0 	5 	9 	11 	19 	2 	14 	9 	17 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	3 	0 	0 	0 	3 	5 	2 	0 	11 	12 	15 	9 	7 	8 	0 	1 	
8 	0 	0 	3 	0 	0 	0 	0 	0 	0 	0 	2 	4 	0 	9 	4 	9 	8 	8 	13 	1 	5 	0 	0 	1 	9 	8 	2 	4 	0 	0 	0 	1 	1 	0 	0 	5 	0 	5 	0 	0 	0 	0 	0 	4 	10 	5 	3 	0 	2 	10 	14 	15 	4 	0 	0 	0 	0 	0 	6 	
1 	0 	0 	0 	1 	23 	3 	8 	6 	6 	13 	13 	9 	20 	0 	0 	0 	0 	5 	4 	7 	0 	0 	0 	0 	0 	0 	0 	0 	10 	4 	4 	11 	0 	0 	0 	0 	0 	5 	19 	6 	1 	0 	2 	16 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	5 	0 	0 	1 	
0 	0 	0 	0 	5 	0 	4 	0 	2 	13 	13 	5 	0 	0 	0 	0 	0 	0 	0 	1 	1 	2 	0 	0 	0 	0 	0 	2 	6 	19 	10 	11 	18 	18 	11 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	4 	8 	17 	18 	0 	0 	16 	21 	14 	8 	5 	0 	0 	0 	
0 	0 	0 	0 	0 	0 	0 	5 	15 	13 	8 	13 	17 	12 	16 	8 	1 	0 	0 	0 	0 	0 	0 	0 	0 	7 	1 	0 	1 	0 	19 	16 	11 	18 	16 	16 	10 	0 	0 	0 	0 	0 	0 	0 	0 	0 	4 	4 	2 	0 	0 	0 	7 	22 	12 	0 	0 	0 	0 	1 	
